"NACE_R2","GEO","TIME","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"Air transport","Belgium","2015","Employed persons","Total","Thousand","10.1",""
"Air transport","Bulgaria","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Czech Republic","2015","Employed persons","Total","Thousand","3.7",""
"Air transport","Denmark","2015","Employed persons","Total","Thousand","6.1",""
"Air transport","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","77.0",""
"Air transport","Estonia","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Ireland","2015","Employed persons","Total","Thousand","10.7",""
"Air transport","Greece","2015","Employed persons","Total","Thousand","9.1",""
"Air transport","Spain","2015","Employed persons","Total","Thousand","41.1",""
"Air transport","France","2015","Employed persons","Total","Thousand","86.7",""
"Air transport","Croatia","2015","Employed persons","Total","Thousand",":",""
"Air transport","Italy","2015","Employed persons","Total","Thousand","24.3",""
"Air transport","Cyprus","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Latvia","2015","Employed persons","Total","Thousand","1.5","u"
"Air transport","Lithuania","2015","Employed persons","Total","Thousand",":","u"
"Air transport","Luxembourg","2015","Employed persons","Total","Thousand","2.3","b"
"Air transport","Hungary","2015","Employed persons","Total","Thousand","5.4",""
"Air transport","Malta","2015","Employed persons","Total","Thousand","1.7",""
"Air transport","Netherlands","2015","Employed persons","Total","Thousand","24.8",""
"Air transport","Austria","2015","Employed persons","Total","Thousand","7.9",""
"Air transport","Poland","2015","Employed persons","Total","Thousand","9.9","u"
"Air transport","Portugal","2015","Employed persons","Total","Thousand","10.2",""
"Air transport","Romania","2015","Employed persons","Total","Thousand","8.0","u"
"Air transport","Slovenia","2015","Employed persons","Total","Thousand","0.8","u"
"Air transport","Slovakia","2015","Employed persons","Total","Thousand","2.6","u"
"Air transport","Finland","2015","Employed persons","Total","Thousand","5.3",""
"Air transport","Sweden","2015","Employed persons","Total","Thousand","6.5",""
"Air transport","United Kingdom","2015","Employed persons","Total","Thousand","68.2",""
"Air transport","Iceland","2015","Employed persons","Total","Thousand","2.1",""
"Air transport","Norway","2015","Employed persons","Total","Thousand","6.9",""
"Air transport","Switzerland","2015","Employed persons","Total","Thousand","8.5",""
"Air transport","Former Yugoslav Republic of Macedonia, the","2015","Employed persons","Total","Thousand",":","c"
"Air transport","Turkey","2015","Employed persons","Total","Thousand","29.9",""
"Accommodation and food service activities","Belgium","2015","Employed persons","Total","Thousand","155.6",""
"Accommodation and food service activities","Bulgaria","2015","Employed persons","Total","Thousand","158.3",""
"Accommodation and food service activities","Czech Republic","2015","Employed persons","Total","Thousand","197.2",""
"Accommodation and food service activities","Denmark","2015","Employed persons","Total","Thousand","119.4",""
"Accommodation and food service activities","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","1,548.7",""
"Accommodation and food service activities","Estonia","2015","Employed persons","Total","Thousand","26.1",""
"Accommodation and food service activities","Ireland","2015","Employed persons","Total","Thousand","138.0",""
"Accommodation and food service activities","Greece","2015","Employed persons","Total","Thousand","325.5",""
"Accommodation and food service activities","Spain","2015","Employed persons","Total","Thousand","1,505.2",""
"Accommodation and food service activities","France","2015","Employed persons","Total","Thousand","994.9",""
"Accommodation and food service activities","Croatia","2015","Employed persons","Total","Thousand","102.3",""
"Accommodation and food service activities","Italy","2015","Employed persons","Total","Thousand","1,333.9",""
"Accommodation and food service activities","Cyprus","2015","Employed persons","Total","Thousand","29.3",""
"Accommodation and food service activities","Latvia","2015","Employed persons","Total","Thousand","30.4",""
"Accommodation and food service activities","Lithuania","2015","Employed persons","Total","Thousand","34.0",""
"Accommodation and food service activities","Luxembourg","2015","Employed persons","Total","Thousand","9.7","b"
"Accommodation and food service activities","Hungary","2015","Employed persons","Total","Thousand","188.4",""
"Accommodation and food service activities","Malta","2015","Employed persons","Total","Thousand","12.5",""
"Accommodation and food service activities","Netherlands","2015","Employed persons","Total","Thousand","351.8",""
"Accommodation and food service activities","Austria","2015","Employed persons","Total","Thousand","238.8",""
"Accommodation and food service activities","Poland","2015","Employed persons","Total","Thousand","340.0",""
"Accommodation and food service activities","Portugal","2015","Employed persons","Total","Thousand","258.7",""
"Accommodation and food service activities","Romania","2015","Employed persons","Total","Thousand","186.0",""
"Accommodation and food service activities","Slovenia","2015","Employed persons","Total","Thousand","46.5",""
"Accommodation and food service activities","Slovakia","2015","Employed persons","Total","Thousand","114.8",""
"Accommodation and food service activities","Finland","2015","Employed persons","Total","Thousand","87.3",""
"Accommodation and food service activities","Sweden","2015","Employed persons","Total","Thousand","167.2",""
"Accommodation and food service activities","United Kingdom","2015","Employed persons","Total","Thousand","1,638.1",""
"Accommodation and food service activities","Iceland","2015","Employed persons","Total","Thousand","11.1",""
"Accommodation and food service activities","Norway","2015","Employed persons","Total","Thousand","77.1",""
"Accommodation and food service activities","Switzerland","2015","Employed persons","Total","Thousand","180.3",""
"Accommodation and food service activities","Former Yugoslav Republic of Macedonia, the","2015","Employed persons","Total","Thousand","26.9",""
"Accommodation and food service activities","Turkey","2015","Employed persons","Total","Thousand","1,445.9",""
"Accommodation","Belgium","2015","Employed persons","Total","Thousand","25.2",""
"Accommodation","Bulgaria","2015","Employed persons","Total","Thousand","40.2",""
"Accommodation","Czech Republic","2015","Employed persons","Total","Thousand","51.1",""
"Accommodation","Denmark","2015","Employed persons","Total","Thousand","23.9",""
"Accommodation","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","479.3",""
"Accommodation","Estonia","2015","Employed persons","Total","Thousand","7.1",""
"Accommodation","Ireland","2015","Employed persons","Total","Thousand","51.4",""
"Accommodation","Greece","2015","Employed persons","Total","Thousand","75.9",""
"Accommodation","Spain","2015","Employed persons","Total","Thousand","344.3",""
"Accommodation","France","2015","Employed persons","Total","Thousand","237.9",""
"Accommodation","Croatia","2015","Employed persons","Total","Thousand","37.4",""
"Accommodation","Italy","2015","Employed persons","Total","Thousand","255.0",""
"Accommodation","Cyprus","2015","Employed persons","Total","Thousand","11.1",""
"Accommodation","Latvia","2015","Employed persons","Total","Thousand","5.5",""
"Accommodation","Lithuania","2015","Employed persons","Total","Thousand","6.2","u"
"Accommodation","Luxembourg","2015","Employed persons","Total","Thousand","2.6","b"
"Accommodation","Hungary","2015","Employed persons","Total","Thousand","41.8",""
"Accommodation","Malta","2015","Employed persons","Total","Thousand","5.9",""
"Accommodation","Netherlands","2015","Employed persons","Total","Thousand","65.9",""
"Accommodation","Austria","2015","Employed persons","Total","Thousand","81.3",""
"Accommodation","Poland","2015","Employed persons","Total","Thousand","104.4",""
"Accommodation","Portugal","2015","Employed persons","Total","Thousand","57.0",""
"Accommodation","Romania","2015","Employed persons","Total","Thousand","41.2",""
"Accommodation","Slovenia","2015","Employed persons","Total","Thousand","12.8",""
"Accommodation","Slovakia","2015","Employed persons","Total","Thousand","36.3",""
"Accommodation","Finland","2015","Employed persons","Total","Thousand","14.9",""
"Accommodation","Sweden","2015","Employed persons","Total","Thousand","43.9",""
"Accommodation","United Kingdom","2015","Employed persons","Total","Thousand","368.3",""
"Accommodation","Iceland","2015","Employed persons","Total","Thousand","3.4",""
"Accommodation","Norway","2015","Employed persons","Total","Thousand","21.1",""
"Accommodation","Switzerland","2015","Employed persons","Total","Thousand","49.6",""
"Accommodation","Former Yugoslav Republic of Macedonia, the","2015","Employed persons","Total","Thousand","4.6",""
"Accommodation","Turkey","2015","Employed persons","Total","Thousand","298.7",""
"Travel agency, tour operator reservation service and related activities","Belgium","2015","Employed persons","Total","Thousand","9.6",""
"Travel agency, tour operator reservation service and related activities","Bulgaria","2015","Employed persons","Total","Thousand","6.2","u"
"Travel agency, tour operator reservation service and related activities","Czech Republic","2015","Employed persons","Total","Thousand","14.1",""
"Travel agency, tour operator reservation service and related activities","Denmark","2015","Employed persons","Total","Thousand","8.2",""
"Travel agency, tour operator reservation service and related activities","Germany (until 1990 former territory of the FRG)","2015","Employed persons","Total","Thousand","144.7",""
"Travel agency, tour operator reservation service and related activities","Estonia","2015","Employed persons","Total","Thousand","1.8","u"
"Travel agency, tour operator reservation service and related activities","Ireland","2015","Employed persons","Total","Thousand","5.9",""
"Travel agency, tour operator reservation service and related activities","Greece","2015","Employed persons","Total","Thousand","19.0",""
"Travel agency, tour operator reservation service and related activities","Spain","2015","Employed persons","Total","Thousand","74.7",""
"Travel agency, tour operator reservation service and related activities","France","2015","Employed persons","Total","Thousand","45.2",""
"Travel agency, tour operator reservation service and related activities","Croatia","2015","Employed persons","Total","Thousand","5.0","u"
"Travel agency, tour operator reservation service and related activities","Italy","2015","Employed persons","Total","Thousand","60.7",""
"Travel agency, tour operator reservation service and related activities","Cyprus","2015","Employed persons","Total","Thousand","1.3","u"
"Travel agency, tour operator reservation service and related activities","Latvia","2015","Employed persons","Total","Thousand","2.4",""
"Travel agency, tour operator reservation service and related activities","Lithuania","2015","Employed persons","Total","Thousand",":","u"
"Travel agency, tour operator reservation service and related activities","Luxembourg","2015","Employed persons","Total","Thousand","0.6","bu"
"Travel agency, tour operator reservation service and related activities","Hungary","2015","Employed persons","Total","Thousand","7.7",""
"Travel agency, tour operator reservation service and related activities","Malta","2015","Employed persons","Total","Thousand","1.3",""
"Travel agency, tour operator reservation service and related activities","Netherlands","2015","Employed persons","Total","Thousand","21.1",""
"Travel agency, tour operator reservation service and related activities","Austria","2015","Employed persons","Total","Thousand","16.9",""
"Travel agency, tour operator reservation service and related activities","Poland","2015","Employed persons","Total","Thousand","20.6",""
"Travel agency, tour operator reservation service and related activities","Portugal","2015","Employed persons","Total","Thousand","14.7",""
"Travel agency, tour operator reservation service and related activities","Romania","2015","Employed persons","Total","Thousand","13.8",""
"Travel agency, tour operator reservation service and related activities","Slovenia","2015","Employed persons","Total","Thousand","1.8","u"
"Travel agency, tour operator reservation service and related activities","Slovakia","2015","Employed persons","Total","Thousand","4.1",""
"Travel agency, tour operator reservation service and related activities","Finland","2015","Employed persons","Total","Thousand","5.7",""
"Travel agency, tour operator reservation service and related activities","Sweden","2015","Employed persons","Total","Thousand","10.1",""
"Travel agency, tour operator reservation service and related activities","United Kingdom","2015","Employed persons","Total","Thousand","108.6",""
"Travel agency, tour operator reservation service and related activities","Iceland","2015","Employed persons","Total","Thousand","1.8",""
"Travel agency, tour operator reservation service and related activities","Norway","2015","Employed persons","Total","Thousand","6.3",""
"Travel agency, tour operator reservation service and related activities","Switzerland","2015","Employed persons","Total","Thousand","17.1",""
"Travel agency, tour operator reservation service and related activities","Former Yugoslav Republic of Macedonia, the","2015","Employed persons","Total","Thousand","1.7",""
"Travel agency, tour operator reservation service and related activities","Turkey","2015","Employed persons","Total","Thousand","50.3",""
